Process,Burst Time,Arrival Time,Waiting Time,Turn Around Time
617,175,994,48294,48469
704,176,554,48909,49085
876,177,472,49167,49344
662,177,523,49293,49470
683,177,711,49282,49459
187,177,969,49201,49378
951,178,952,49395,49573
261,178,959,49566,49744
439,179,195,50508,50687
461,179,298,50584,50763
488,179,593,50468,50647
209,180,183,51057,51237
779,180,184,51236,51416
633,180,353,51247,51427
484,180,698,51082,51262
889,181,149,51811,51992
993,181,623,51518,51699
133,182,540,51782,51964
546,183,133,52371,52554
651,183,168,52519,52702
273,183,358,52512,52695
977,183,738,52315,52498
150,184,362,52874,53058
987,185,437,52983,53168
646,185,715,52890,53075
282,185,957,52833,53018
388,186,157,53818,54004
513,186,348,53813,53999
573,186,960,53387,53573
292,187,105,54428,54615
972,187,271,54449,54636
224,187,682,54225,54412
440,187,734,54360,54547
829,187,987,54294,54481
407,188,519,54949,55137
692,188,712,54944,55132
765,188,912,54932,55120
418,189,367,55665,55854
961,189,898,55323,55512
339,190,132,56278,56468
465,190,832,55768,55958
462,190,983,55807,55997
899,191,58,56922,57113
941,191,123,57048,57239
432,192,804,56558,56750
715,192,879,56675,56867
173,193,77,57669,57862
157,193,490,57449,57642
216,193,797,57335,57528
981,193,870,57455,57648
914,194,278,58240,58434
574,194,530,58182,58376
652,194,647,58259,58453
710,194,831,58269,58463
856,195,441,58853,59048
256,195,459,59030,59225
278,195,529,59155,59350
994,195,647,59232,59427
544,195,829,59245,59440
738,195,832,59437,59632
113,196,140,60324,60520
751,196,288,60372,60568
875,196,440,60416,60612
606,196,473,60579,60775
414,196,532,60716,60912
766,196,767,60677,60873
208,196,810,60830,61026
280,196,844,60992,61188
885,197,299,61733,61930
741,197,445,61784,61981
613,197,592,61834,62031
250,197,780,61843,62040
602,198,77,62743,62941
579,198,492,62526,62724
327,199,263,62953,63152
672,199,520,62895,63094
214,199,607,63007,63206
772,200,477,63336,63536
369,200,510,63503,63703
376,201,157,64056,64257
420,201,291,64123,64324
481,201,863,63752,63953
894,202,108,64708,64910
242,202,383,64635,64837
905,202,757,64463,64665
350,202,764,64658,64860
114,202,892,64732,64934
711,202,920,64906,65108
865,203,550,65478,65681
277,203,571,65660,65863
104,203,616,65818,66021
938,203,857,65780,65983
493,204,749,66091,66295
276,205,82,66962,67167
454,205,88,67161,67366
939,205,415,67039,67244
530,205,485,67174,67379
519,205,604,67260,67465
218,206,147,67922,68128
736,206,804,67471,67677
495,207,354,68127,68334
890,207,388,68300,68507
901,207,520,68375,68582
702,207,752,68350,68557
296,207,756,68553,68760
373,208,503,69013,69221
581,208,674,69050,69258
162,209,174,69758,69967
720,209,278,69863,70072
631,210,894,69456,69666
714,211,100,70460,70671
413,211,207,70564,70775
233,211,272,70710,70921
241,211,687,70506,70717
861,212,551,70853,71065
863,212,724,70892,71104
196,213,69,71759,71972
499,214,728,71313,71527
820,214,952,71303,71517
379,215,397,72072,72287
956,215,490,72194,72409
733,215,606,72293,72508
387,215,777,72337,72552
810,215,839,72490,72705
430,215,894,72650,72865
618,216,232,73527,73743
341,216,852,73123,73339
725,216,916,73275,73491
453,217,139,74268,74485
693,217,190,74434,74651
976,217,247,74594,74811
167,217,332,74726,74943
340,217,358,74917,75134
361,217,462,75030,75247
344,218,168,75541,75759
755,218,233,75694,75912
354,219,514,75631,75850
494,220,134,76230,76450
515,220,985,75599,75819
5675,1,8002,116982,116983
7840,1,8073,116912,116913
2703,1,8180,116806,116807
2991,1,8433,116554,116555
3971,1,8458,116530,116531
6114,1,8509,116480,116481
2281,1,8539,116451,116452
3812,1,8597,116394,116395
3290,1,8621,116371,116372
8484,1,8733,116260,116261
7203,1,8762,116232,116233
9052,1,8908,116087,116088
6119,1,8918,116078,116079
7057,1,8964,116033,116034
2518,1,8985,116013,116014
8851,1,9042,115957,115958
6763,1,9076,115924,115925
8984,1,9166,115835,115836
3813,1,9235,115767,115768
4303,1,9406,115597,115598
9728,1,9591,115413,115414
4189,1,9663,115342,115343
9279,1,9715,115291,115292
2142,1,9717,115290,115291
